cdr_id,subscriber_id,detected_leakage_type,detection_method,detection_confidence,detected_at
0a91eb07-473d-402a-b31c-bb5db6a7a4d5,1000,L9_misclass,sql_rule,0.95,31/03/2026 19:08:44
97ab13d7-fb57-4695-a7f0-86fce19a5ac3,1005,L9_misclass,sql_rule,0.95,31/03/2026 19:08:44
5174c382-db6e-4af5-b6fc-b9f5a40ae1f4,1007,L9_misclass,sql_rule,0.95,31/03/2026 19:08:44
10d0fc29-fe8c-4529-aa57-789359ccf9bd,1009,L9_misclass,sql_rule,0.95,31/03/2026 19:08:44
76cb2619-4049-4dc7-97eb-aced14eaa9c1,1011,L9_misclass,sql_rule,0.95,31/03/2026 19:08:44
40db417e-8d03-4197-9ed6-cc6dfdca1fcb,1014,L9_misclass,sql_rule,0.95,31/03/2026 19:08:44
661e57e0-9de1-4a22-84a0-7e01941561fb,1015,L9_misclass,sql_rule,0.95,31/03/2026 19:08:44
35f66878-c179-4154-bb50-d650f1cefcc3,1016,L9_misclass,sql_rule,0.95,31/03/2026 19:08:44
1f914e22-a64b-4405-9503-0bd0a7a9704f,1017,L9_misclass,sql_rule,0.95,31/03/2026 19:08:44
95b5f595-2ce4-4465-82c0-5ed2e2aa5232,1021,L9_misclass,sql_rule,0.95,31/03/2026 19:08:44
4af962d8-10ac-480c-981c-8801fdaf9aa3,1021,L9_misclass,sql_rule,0.95,31/03/2026 19:08:44
9d1eb418-d3e0-4f21-b658-e2b8157a2d32,1024,L9_misclass,sql_rule,0.95,31/03/2026 19:08:44
490fe1ad-a954-488f-9ac6-0afebcdb8311,1034,L9_misclass,sql_rule,0.95,31/03/2026 19:08:44
223ff549-e2cf-4fe8-8db8-f1b31dd13733,1036,L9_misclass,sql_rule,0.95,31/03/2026 19:08:44
4e6c51ec-04f1-4b9a-a963-f2087f70e1a1,1037,L9_misclass,sql_rule,0.95,31/03/2026 19:08:44
a00a469a-3742-4761-a6d8-bc2177e18f10,1040,L9_misclass,sql_rule,0.95,31/03/2026 19:08:44
e849f8e5-1e9d-41ad-b7c9-50b431b3870d,1040,L9_misclass,sql_rule,0.95,31/03/2026 19:08:44
